"url","http_status","canonical","title","duplicate_title","title_contains_ellipsis","meta_description","h1","category","product_name","sku","purity","weight","dimensions","missing_standalone_weight","missing_sku","product_image_count"
"https://www.ddasilver.com/","200","https://www.ddasilver.com/","DDA Silver | Silver Jewellery, Coins & Live Rates in Agra","false","false","Discover silver jewellery, coins, idols, gifts and homeware at DDA Silver in Agra, view live silver rates and plan your showroom visit.","DDA Silver,Agra's trusted family destination for purity, craftsmanship & trust.","","","","","","","","",""
"https://www.ddasilver.com/about","200","https://www.ddasilver.com/about","About Our Agra Silver Showroom | DDA Silver","false","false","Learn about DDA Silver, our Agra roots, dedicated silver showroom and relationship with the wider DDA family of jewellery and precious-metal brands.","Rooted in Agra,made for today.","","","","","","","","",""
"https://www.ddasilver.com/category/coin","200","https://www.ddasilver.com/category/coin","Silver Coin in Agra | DDA Silver","false","false","Explore coin at DDA Silver in Agra. Silver coins in classic and contemporary shapes for gifting and milestones.","Coin","","","","","","","","",""
"https://www.ddasilver.com/category/gifts","200","https://www.ddasilver.com/category/gifts","Silver Gifts in Agra | DDA Silver","false","false","Explore gifts at DDA Silver in Agra. Memorable silver gifts for families, celebrations, and milestones.","Gifts","","","","","","","","",""
"https://www.ddasilver.com/category/gold","200","https://www.ddasilver.com/category/gold","Silver Gold Coins & Bars in Agra | DDA Silver","false","false","Explore gold coins & bars at DDA Silver in Agra. Card-packed gold coins and bars in product-specific purities for gifting and milestones.","Gold Coins & Bars","","","","","","","","",""
"https://www.ddasilver.com/category/idols","200","https://www.ddasilver.com/category/idols","Silver Idols in Agra | DDA Silver","false","false","Explore idols at DDA Silver in Agra. Hollow, solid, and semi-solid silver devotional pieces for prayer and tradition.","Idols","","","","","","","","",""
"https://www.ddasilver.com/category/jhula","200","https://www.ddasilver.com/category/jhula","Silver Jhula in Agra | DDA Silver","false","false","Explore jhula at DDA Silver in Agra. Ornate 92.5% silver jhulas for devotional settings, celebrations, and meaningful gifting.","Jhula","","","","","","","","",""
"https://www.ddasilver.com/category/purse","200","https://www.ddasilver.com/category/purse","Silver Purse in Agra | DDA Silver","false","false","Explore purse at DDA Silver in Agra. Ornate 92.5% silver purses and clutches for celebrations and gifting.","Purse","","","","","","","","",""
"https://www.ddasilver.com/category/utensils","200","https://www.ddasilver.com/category/utensils","Silver Utensils in Agra | DDA Silver","false","false","Explore utensils at DDA Silver in Agra. Silver dining, serving, and home utensils for meaningful everyday use.","Utensils","","","","","","","","",""
"https://www.ddasilver.com/contact","200","https://www.ddasilver.com/contact","Contact Our Agra Showroom | DDA Silver","false","false","Contact DDA Silver by phone or WhatsApp, get directions to our showroom opposite Nagar Nigam on MG Road in Agra and check current opening hours.","Let's find the right silver piece.","","","","","","","","",""
"https://www.ddasilver.com/products","200","https://www.ddasilver.com/products","Silver Products in Agra | DDA Silver","false","false","Explore silver jewellery, coins, idols, gifts and utensils from DDA Silver in Agra. Browse the collection and enquire on WhatsApp for availability.","Explore silver,your way.","","","","","","","","",""
"https://www.ddasilver.com/products/arched-botanical-panel-silver-bottle","200","https://www.ddasilver.com/products/arched-botanical-panel-silver-bottle","Arched Botanical-Panel Silver Bottle in Agra | DDA Silver","false","false","Arched Botanical-Panel Silver Bottle at DDA Silver in Agra. A silver bottle weighing 400 g and standing 9.5 in high, with arched botanical panels, a tapered…","Arched Botanical-Panel Silver Bottle","Utensils","Arched Botanical-Panel Silver Bottle","DDA-UT-BT-101","92.5%","400 g","Height: 9.5 in","false","false","1"
"https://www.ddasilver.com/products/auspicious-elephant-silver-idol","200","https://www.ddasilver.com/products/auspicious-elephant-silver-idol","Auspicious Elephant Silver Idol in Agra | DDA Silver","false","false","Auspicious Elephant Silver Idol at DDA Silver in Agra. A hollow 99.80% pure silver auspicious elephant idol with an intricately engraved ceremonial blanket…","HM-EL-1 — Auspicious Elephant Silver Idol","Idols","Auspicious Elephant Silver Idol","HM-EL-1","99.80%","140 g","Height: 4 in","false","false","1"
"https://www.ddasilver.com/products/auspicious-fish-silver-figurine","200","https://www.ddasilver.com/products/auspicious-fish-silver-figurine","Auspicious Fish Silver Figurine in Agra | DDA Silver","false","false","Auspicious Fish Silver Figurine at DDA Silver in Agra. A hollow 99.80% pure silver fish figurine with engraved scales and gold-toned fins. Weight: 10 g…","HM-FS-1 — Auspicious Fish Silver Figurine","Idols","Auspicious Fish Silver Figurine","HM-FS-1","99.80%","10 g","Height: 1.5 in","false","false","1"
"https://www.ddasilver.com/products/auspicious-owl-silver-idol","200","https://www.ddasilver.com/products/auspicious-owl-silver-idol","Auspicious Owl Silver Idol in Agra | DDA Silver","false","false","Auspicious Owl Silver Idol at DDA Silver in Agra. A hollow 99.80% pure silver auspicious owl idol, traditionally associated with Goddess Lakshmi. Weight: 25…","HM-OW-1 — Auspicious Owl Silver Idol","Idols","Auspicious Owl Silver Idol","HM-OW-1","99.80%","25 g","Height: 3 in","false","false","1"
