"number","sourcePath","sourceSha256","imagePath","reference","title","categoryId","utensilType","material","finish","sourcePurityMarking","purity","purityBasis","coinShape","weightGrams","sourceWeightToleranceGrams","diameterInches","suppliedSizeLabel","recordType","createProduct","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\Files\IMG_2373.jpeg","5152c70fd013e6773e09cbb3e1c64a54ef5660ec9e0315d3dbe0e63f71c97588","public/images/gallery-ingestion/desktop-files-2026-08-22/001-benjamin-franklin-rectangular-silver-bar-5g.png","DDA-COIN-20260822-001","DDA 5 Gram Benjamin Franklin Rectangular Silver Bar","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","rectangle","5","","","","","","","A 5 gram silver piece featuring a Benjamin Franklin portrait and historic-building reverse. Owner-confirmed purity is 99.80%.","DDA 5 Gram Benjamin Franklin Rectangular Silver Bar showing a Benjamin Franklin portrait and historic-building reverse","","true","true"
"2","C:\Users\kk\Desktop\Files\IMG_2374.jpeg","66f18e8faab9f62e11f9985422742b6cbf3e365d7713ed654639e8f9e6ecc05b","public/images/gallery-ingestion/desktop-files-2026-08-22/002-george-v-two-tone-round-silver-coin-5g.png","DDA-COIN-20260822-002","DDA 5 Gram George V Two-Tone Round Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","round","5","","","","","","","A 5 gram silver piece featuring a gold-tone George V portrait and ornamental reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 5 Gram George V Two-Tone Round Silver Coin showing a gold-tone George V portrait and ornamental reverse","","true","true"
"3","C:\Users\kk\Desktop\Files\IMG_2375.jpeg","c75b418f25b46b257a6227b180ca79fee61dbfd626f939583e0a7deeb461c407","public/images/gallery-ingestion/desktop-files-2026-08-22/003-george-v-all-silver-round-coin-5g.png","DDA-COIN-20260822-003","DDA 5 Gram George V Round Silver Coin","category-coin","","silver","","999","99.80","owner-confirmed-2026-08-22","round","5","","","","","","","A 5 gram silver piece featuring an all-silver George V portrait and ornamental reverse. Owner-confirmed purity is 99.80%.","DDA 5 Gram George V Round Silver Coin showing an all-silver George V portrait and ornamental reverse","","true","true"
"4","C:\Users\kk\Desktop\Files\IMG_2376.jpeg","94f7e90b3515cd61082b24e716d2f90fb7edf0a5a665365aaa95c59d08dc147d","public/images/gallery-ingestion/desktop-files-2026-08-22/004-george-v-two-tone-oval-coin-10g.png","DDA-COIN-20260822-004","DDA 10 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring an oval gold-tone George V portrait and decorative reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 10 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait and decorative reverse","","true","true"
"5","C:\Users\kk\Desktop\Files\IMG_2377.jpeg","68d2640a5deee2856401ca72df50901af6cc2da64122be8a85ef52d2d79f43cb","public/images/gallery-ingestion/desktop-files-2026-08-22/005-george-v-two-tone-oval-coin-20g.png","DDA-COIN-20260822-005","DDA 20 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","20","","","","","","","A 20 gram silver piece featuring an oval gold-tone George V portrait and decorative reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 20 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait and decorative reverse","","true","true"
"6","C:\Users\kk\Desktop\Files\IMG_2378.jpeg","31dda51115bfed51015fa131eead148440c904c13b33087ad0db1b4992f0fac0","public/images/gallery-ingestion/desktop-files-2026-08-22/006-george-v-two-tone-oval-coin-25g.png","DDA-COIN-20260822-006","DDA 25 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","25","","","","","","","A 25 gram silver piece featuring an oval gold-tone George V portrait and decorative reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 25 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait and decorative reverse","","true","true"
"7","C:\Users\kk\Desktop\Files\IMG_2379.jpeg","2b6c1e09675598003fc48e4950aec44cc73b6bbc7efdf17215491b3b45f3e441","public/images/gallery-ingestion/desktop-files-2026-08-22/007-george-v-two-tone-oval-coin-50g.png","DDA-COIN-20260822-007","DDA 50 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","50","","","","","","","A 50 gram silver piece featuring an oval gold-tone George V portrait and decorative reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 50 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait and decorative reverse","","true","true"
"8","C:\Users\kk\Desktop\Files\IMG_2380.jpeg","06544abbff55a23e45aafed1ddd8178c0eae5e1b2c22ed4442fc6e7a2098421e","public/images/gallery-ingestion/desktop-files-2026-08-22/008-george-v-two-tone-oval-coin-100g.png","DDA-COIN-20260822-008","DDA 100 Gram George V Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","100","","","","","","","A 100 gram silver piece featuring an oval gold-tone George V portrait and decorative reverse. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 100 Gram George V Two-Tone Oval Silver Coin showing an oval gold-tone George V portrait and decorative reverse","","true","true"
"9","C:\Users\kk\Desktop\Files\IMG_2381.jpeg","9077ce3171b71d738035dbde9ed6da4da4ead3a6f72606529fbbeeb113ba8afd","public/images/gallery-ingestion/desktop-files-2026-08-22/009-radha-krishna-two-tone-oval-coin-10g.png","DDA-COIN-20260822-009","DDA 10 Gram Radha Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","10","","","","","","","A 10 gram silver piece featuring Radha and Krishna beside a cow, peacock, and tree. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 10 Gram Radha Krishna Two-Tone Oval Silver Coin showing Radha and Krishna beside a cow, peacock, and tree","","true","true"
"10","C:\Users\kk\Desktop\Files\IMG_2382.jpeg","7cea499a8dc0ebbd19597a8e30b30f2fca3659b28fd11e9f14aa9aedb936c00b","public/images/gallery-ingestion/desktop-files-2026-08-22/010-radha-krishna-two-tone-oval-coin-20g.png","DDA-COIN-20260822-010","DDA 20 Gram Radha Krishna Two-Tone Oval Silver Coin","category-coin","","silver","gold-polished","999","99.80","owner-confirmed-2026-08-22","oval","20","","","","","","","A 20 gram silver piece featuring Radha and Krishna beside a cow, peacock, and tree. Owner-confirmed purity is 99.80%. The gold-polished details are a surface finish on the silver coin.","DDA 20 Gram Radha Krishna Two-Tone Oval Silver Coin showing Radha and Krishna beside a cow, peacock, and tree","","true","true"
"11","C:\Users\kk\Desktop\Files\IMG_2383.jpeg","f27889eab4b1895969e5fb8a97f2663c41dd5554937987d253b30c37dd7193d9","public/images/gallery-ingestion/desktop-files-2026-08-22/011-floral-panel-silver-purse-405g.png","PR-2201","DDA 405 Gram Floral Panel Silver Purse","category-purse","","silver","","","92.5","owner-confirmed-2026-08-22","","405","","","","","","","A 405 gram purse in confirmed 92.5% silver with dense floral, scalloped, and striped panels with a circular handle.","DDA 405 Gram Floral Panel Silver Purse showing dense floral, scalloped, and striped panels with a circular handle","","true","true"
"12","C:\Users\kk\Desktop\Files\IMG_2384.jpeg","76e2d6b3dabc67213070de4af6366fa156ab2e8535ea7c4d676bf91074254f6f","public/images/gallery-ingestion/desktop-files-2026-08-22/012-woven-lattice-two-tone-silver-purse-400g.png","PR-2202","DDA 400 Gram Woven Lattice Two-Tone Silver Purse","category-purse","","silver","","","92.5","owner-confirmed-2026-08-22","","400","","","","","","","A 400 gram purse in confirmed 92.5% silver with a woven lattice body, gold-tone clasp, floral stones, and loop handle.","DDA 400 Gram Woven Lattice Two-Tone Silver Purse showing a woven lattice body, gold-tone clasp, floral stones, and loop handle","","true","true"
