"number","sourcePath","imagePath","reference","title","categoryId","utensilType","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","sizeVariants","recordType","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-13 at 5.50.20 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-12-scalloped-floral-round-silver-singhasan-6x4.png","SG-12","Scalloped Floral Round Silver Singhasan","category-gifts","","92.5","270","","6","4","","6/4inch","","","","","","","","An ornate silver singhasan weighing 270 g, with a round raised base, pierced guard rail, engraved floral seat and scalloped floral-scroll back. Supplied size: 6 × 4 in. Purity: 92.5%.","Round silver singhasan with pierced guard rail, engraved floral seat and scalloped floral-scroll back","","true","true"
"2","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-13 at 8.26.59 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/jh-11-elephant-foot-twin-peacock-silver-jhula.png","JH-11","Elephant-Foot Twin-Peacock Silver Jhula — Alternate View","category-jhula","","92.5","2629","","","","","","7","5","","","","alternateGalleryImage","JH-11","An ornate silver jhula weighing 2,629 g, with elephant-form feet, a twin-peacock back, floral openwork and a suspended inner seat. Singhasan size: 7 × 5 in. Purity: 92.5%.","Silver jhula with elephant-form feet, twin peacocks, floral openwork and a suspended inner seat","","true","true"
"3","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 1.06.55 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-14-petite-pointed-floral-silver-singhasan-2x2-5.png","SG-14","Petite Pointed Floral Silver Singhasan","category-gifts","","92.5","85","","2","2.5","","2/2.5inch","","","","","","","","A petite silver singhasan weighing 85 g, with a pointed floral back, engraved seat, delicate rails and compact raised base. Supplied size: 2 × 2.5 in. Purity: 92.5%.","Petite silver singhasan with pointed floral back, engraved seat, side rails and compact raised base","","true","true"
"4","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 1.09.13 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-15-compact-floral-fan-silver-singhasan-4x3.png","SG-15","Compact Floral-Fan Silver Singhasan","category-gifts","","92.5","70","","4","3","","4/3inch","","","","","","","","A compact silver singhasan weighing 70 g, with a fan-shaped floral back, engraved platform and slender side rails. Supplied size: 4 × 3 in. Purity: 92.5%.","Compact silver singhasan with fan-shaped floral back, engraved platform and slender side rails","","true","true"
"5","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 12.40.50 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-13-twin-peacock-floral-elephant-foot-silver-singhasan-7x5.png","SG-13","Twin Peacock Floral Elephant-Foot Silver Singhasan","category-gifts","","92.5","760","","7","5","","7/5inch","","","","","","","","An ornate silver singhasan weighing 760 g, with a twin-peacock floral back, engraved platform, curved rails and elephant-form feet. Supplied size: 7 × 5 in. Purity: 92.5%.","Silver singhasan with twin-peacock floral back, engraved seat, curved rails and elephant-form feet","","true","true"
"6","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 12.43.23 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-16-openwork-arch-floral-silver-singhasan-7x5.png","SG-16","Openwork Arch Floral Silver Singhasan","category-gifts","","92.5","600","","7","5","","7/5inch","","","","","","","","A silver singhasan weighing 600 g, with an openwork floral arch, engraved seat, curved rails and raised decorative base. Supplied size: 7 × 5 in. Purity: 92.5%.","Silver singhasan with openwork floral arch, engraved seat, curved rails and raised decorative base","","true","true"
"7","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 12.48.14 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-17-twin-peacock-bolster-silver-singhasan-7x5.png","SG-17","Twin Peacock Bolster Silver Singhasan","category-gifts","","92.5","650","","7","5","","7/5inch","","","","","","","","A silver singhasan weighing 650 g, with a twin-peacock floral back, cylindrical bolsters, engraved platform and ornate feet. Supplied size: 7 × 5 in. Purity: 92.5%.","Silver singhasan with twin-peacock floral back, cylindrical bolsters, engraved platform and ornate feet","","true","true"
"8","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 12.51.24 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-18-tiered-floral-crown-silver-singhasan-9x7.png","SG-18","Tiered Floral-Crown Silver Singhasan","category-gifts","","92.5","675","","9","7","","9/7inch","","","","","","","","A silver singhasan weighing 675 g, with a tiered floral-crown back, engraved platform, raised rails and sculpted feet. Supplied size: 9 × 7 in. Purity: 92.5%.","Silver singhasan with tiered floral-crown back, engraved platform, raised rails and sculpted feet","","true","true"
"9","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-14 at 12.58.16 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-19-gold-accent-peacock-canopy-silver-singhasan-10x8.png","SG-19","Gold-Accent Peacock-Canopy Silver Singhasan","category-gifts","","92.5","1720","","10","8","","10/8inch","","","","","","","","A silver singhasan weighing 1,720 g, with gold accents, peacock details, a suspended canopy and an engraved tiered base. Supplied size: 10 × 8 in. Purity: 92.5%.","Silver singhasan with gold accents, peacock details, suspended canopy and engraved tiered base","","true","true"
"10","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 2.17.14 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-20-chrysanthemum-tree-round-silver-singhasan-6x4.png","SG-20","Chrysanthemum-Tree Round Silver Singhasan","category-gifts","","92.5","455","","6","4","","6/4inch","","","","","","","","A round silver singhasan weighing 455 g, with a branching chrysanthemum back, engraved seat, pierced rail and floral base. Supplied size: 6 × 4 in. Purity: 92.5%.","Round silver singhasan with branching chrysanthemum back, engraved seat, pierced rail and floral base","","true","true"
"11","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 2.29.51 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-21-tiered-leaf-floral-silver-singhasan-7x5.png","SG-21","Tiered Leaf-and-Floral Silver Singhasan","category-gifts","","92.5","500","","7","5","","7/5inch","","","","","","","","A silver singhasan weighing 500 g, with tiered leaf-and-floral panels, an engraved seat, low side rails and ornate base. Supplied size: 7 × 5 in. Purity: 92.5%.","Silver singhasan with tiered leaf-and-floral panels, engraved seat, low side rails and ornate base","","true","true"
"12","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 2.34.15 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-22-peacock-fan-two-tier-silver-singhasan-7x5.png","SG-22","Peacock-Fan Two-Tier Silver Singhasan","category-gifts","","92.5","700","","7","5","","7/5inch","","","","","","","","A two-tier silver singhasan weighing 700 g, with a fan-tail peacock back, floral engraving, pierced rails and raised feet. Supplied size: 7 × 5 in. Purity: 92.5%.","Two-tier silver singhasan with fan-tail peacock back, floral engraving, pierced rails and raised feet","","true","true"
"13","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 2.40.28 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/sg-23-pink-accent-floral-round-silver-singhasan-7x5.png","SG-23","Pink-Accent Floral Round Silver Singhasan","category-gifts","","92.5","400","","7","5","","7/5inch","","","","","","","","A round silver singhasan weighing 400 g, with pink floral accents, openwork back, engraved seat and decorative feet. Supplied size: 7 × 5 in. Purity: 92.5%.","Round silver singhasan with pink floral accents, openwork back, engraved seat and decorative feet","","true","true"
"14","C:\Users\kk\Desktop\Images\WhatsApp Image 2026-08-15 at 3.53.53 PM.jpeg","public/images/gallery-ingestion/images-2026-08-20/images/bt-01-glass-floral-band-silver-bottle-11in.png","DDA-UT-BT-99","Glass Floral-Band Silver Bottle","category-utensils","bottle","92.5","125","11","","","","","","","","","","","","A transparent glass bottle with silver floral bands, fitted cap and gold-tone inner base, supplied at 125 g and 11 in high. Purity: 92.5%.","Transparent glass bottle with silver floral bands, fitted cap and gold-tone inner base","","true","true"
