"number","sourcePath","imagePath","reference","title","categoryId","utensilType","material","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","coinShape","sizeVariants","recordType","parentReference","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.31.40 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/01-pink-rose-enamel-rectangular-silver-gift-box-7x5.png","DDA-GF-IMG-0830-01","Pink Rose Enamel Rectangular Silver Gift Box","category-gifts",,"silver","92.5","625",,"7","5",,"7/5inch",,,,"",,"",,,"A rectangular silver gift box weighing 625 g, with a sculpted pink rose, four green enamel leaves, fine lined lid texture and rounded corner panels. Supplied size: 7 × 5 in.","Rectangular silver gift box with a pink sculpted rose and four green enamel leaves","","True","True"
"2","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.33.04 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/02-ornate-enamel-leaf-silver-gift-box-8x6.png","DDA-GF-IMG-0830-02","Ornate Enamel Leaf Silver Gift Box","category-gifts",,"silver","92.5","910",,"8","6",,"8/6inch",,,,"",,"",,,"A leaf-shaped silver gift box weighing 910 g, with layered feathered relief, a raised enamel panel of red scrolls and multicolour floral motifs. Supplied size: 8 × 6 in.","Leaf-shaped silver gift box with feathered relief and a red, blue and yellow enamel floral panel","","True","True"
"3","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.34.54 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/03-twin-peacock-enamel-octagonal-silver-gift-box-6x6.png","DDA-GF-IMG-0830-03","Twin-Peacock Enamel Octagonal Silver Gift Box","category-gifts",,"silver","92.5","661",,"6","6",,"6/6inch",,,,"",,"",,,"An octagonal silver gift box weighing 661 g, centred with paired peacocks in blue, green and red enamel, framed by floral relief. Supplied size: 6 × 6 in.","Octagonal silver gift box with paired multicolour enamel peacocks and floral relief","","True","True"
"4","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.36.51 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/04-raised-rose-antique-silver-gift-box-6x5.png","DDA-GF-IMG-0830-04","Raised-Rose Antique Silver Gift Box","category-gifts",,"silver","92.5","500",,"6","5",,"6/5inch",,,,"",,"",,,"An antique-finish silver gift box weighing 500 g, with a raised central rose, pierced scroll petals and engraved side panels. Supplied size: 6 × 5 in.","Antique-finish silver gift box with a raised central rose and pierced scroll petals","","True","True"
"5","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.38.07 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/05-floral-relief-antique-silver-gift-box-10x8.png","DDA-GF-IMG-0830-05","Floral-Relief Antique Silver Gift Box","category-gifts",,"silver","92.5","950",,"10","8",,"10/8inch",,,,"",,"",,,"A substantial antique-finish silver gift box weighing 950 g, covered in layered floral relief, scroll borders and a central rose medallion. Supplied size: 10 × 8 in.","Large antique-finish silver gift box with layered floral relief and central rose medallion","","True","True"
"6","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-23 at 2.39.18 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/06-pink-blue-enamel-medallion-silver-gift-box-8x4.png","DDA-GF-IMG-0830-06","Pink-Blue Enamel Medallion Silver Gift Box","category-gifts",,"silver","92.5","1165",,"8","4",,"8/4inch",,,,"",,"",,,"A wide silver gift box weighing 1,165 g, with a blue-and-pink enamel floral medallion, engraved vines and stepped side panels. Supplied size: 8 × 4 in.","Wide silver gift box with blue-and-pink enamel floral medallion and engraved vines","","True","True"
"7","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.24.48 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/07-multicolour-enamel-arched-floral-silver-gift-box-9p5x8.png","DDA-GF-IMG-0830-07","Multicolour Enamel Arched Floral Silver Gift Box","category-gifts",,"silver","92.5","1450",,"9.5","8",,"9.5/8inch",,,,"",,"",,,"An arched silver gift box weighing 1,450 g, with multicolour enamel flowers, blue birds, red scrolls and dense raised borders. Supplied size: 9.5 × 8 in.","Arched silver gift box with multicolour enamel flowers, blue birds and red scrolls","","True","True"
"8","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.30.56 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/08-antique-rose-cluster-silver-gift-box-6p5x5.png","DDA-GF-IMG-0830-08","Antique Rose-Cluster Silver Gift Box","category-gifts",,"silver","92.5","500",,"6.5","5",,"6.5/5inch",,,,"",,"",,,"An antique-finish silver gift box weighing 500 g, with a domed rose cluster, scrolling floral relief and beaded border. Supplied size: 6.5 × 5 in.","Antique-finish silver gift box with domed rose cluster, floral scrolls and beaded border","","True","True"
"9","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.33.35 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/09-twin-flower-scroll-silver-gift-box-7p5x5p5.png","DDA-GF-IMG-0830-09","Twin-Flower Scroll Silver Gift Box","category-gifts",,"silver","92.5","550",,"7.5","5.5",,"7.5/5.5inch",,,,"",,"",,,"A silver gift box weighing 550 g, with two raised flower medallions, scrolling foliage and a finely textured lid. Supplied size: 7.5 × 5.5 in.","Silver gift box with twin raised flower medallions, scrolling foliage and textured lid","","True","True"
"10","C:\Users\kk\Desktop\img\WhatsApp Image 2026-08-26 at 12.39.35 PM.jpeg","public/images/gallery-ingestion/img-2026-08-30-approval/images/10-diamond-floral-antique-silver-gift-box-8x6p5.png","DDA-GF-IMG-0830-10","Diamond-Floral Antique Silver Gift Box","category-gifts",,"silver","92.5","700",,"8","6.5",,"8/6.5inch",,,,"",,"",,,"An antique-finish silver gift box weighing 700 g, with diamond lattice, raised floral clusters and ornate corner scrolls. Supplied size: 8 × 6.5 in.","Antique-finish silver gift box with diamond lattice, raised flowers and corner scrolls","","True","True"
