"number","sourcePath","imagePath","reference","referenceFamily","title","slug","categoryId","utensilType","material","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 1.49.55 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/01-painted-ram-darbar-silver-idol-set-gold-accents.png","SM-RM-1","RM","SM-RM-1 — Gold-Accent Ram Darbar Silver Idol Set","gold-accent-ram-darbar-silver-idol-set","category-idols","","silver","92.5","720","4","","","","","solid","deity-rama | deity-lakshman | deity-sita | deity-hanuman","A four-figure silver Ram Darbar set with Rama, Lakshman and Sita standing above kneeling Hanuman on an ornate platform. Purity: 92.5%. Weight: 720 g. Height: 4 in.","Gold-accent silver Ram Darbar set with three standing deities and kneeling Hanuman","","true","true"
"2","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 1.51.29 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/02-auspicious-elephant-silver-figurine-gold-blanket.png","SM-EL-1","EL","SM-EL-1 — Gold-Blanket Auspicious Elephant Silver Figurine","gold-blanket-auspicious-elephant-silver-figurine","category-idols","","silver","92.5","225","1.5","","","","","solid","deity-auspicious-elephant","A standing silver elephant figurine with a lowered trunk, engraved blanket and gold-toned border details. Purity: 92.5%. Weight: 225 g. Height: 1.5 in.","Standing silver elephant figurine with lowered trunk and gold-bordered engraved blanket","","true","true"
"3","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 1.52.52 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/03-reclining-horned-bovine-silver-figurine-gold-blanket.png","SM-ND-1","ND","SM-ND-1 — Gold-Blanket Nandi Silver Idol","gold-blanket-nandi-silver-idol","category-idols","","silver","92.5","140","1","","","","","solid","deity-nandi","A reclining Nandi silver idol with folded legs, a long face and a gold-bordered diamond-pattern ceremonial blanket. Purity: 92.5%. Weight: 140 g. Height: 1 in.","Reclining Nandi silver idol with folded legs and gold-bordered diamond-pattern ceremonial blanket","","true","true"
"4","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 1.54.03 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/04-crowned-devotional-bust-pair-silver-gold-halos.png","SM-KD-1","KD","SM-KD-1 — Kaila Devi Silver Devotional Bust Pair with Gold Halos","kaila-devi-silver-devotional-bust-pair-gold-halos","category-idols","","silver","92.5","160","2","","","","","solid","deity-kaila-devi","A matched Kaila Devi silver devotional bust pair with fluted bases, gold halos, gold garlands and painted faces. Purity: 92.5%. Weight: 160 g. Height: 2 in.","Matched Kaila Devi silver devotional bust pair with gold halos, garlands and painted faces","","true","true"
"5","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 1.59.49 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/05-gold-accent-silver-turtle-figurine.png","SM-TR-1","TR","SM-TR-1 — Gold-Accent Auspicious Turtle Silver Figurine","gold-accent-auspicious-turtle-silver-figurine","category-idols","","silver","92.5","180","","3","","","","solid","deity-auspicious-turtle","A low silver turtle figurine with four legs, a long neck and a segmented shell picked out in gold-toned panels. Purity: 92.5%. Weight: 180 g. Length: 3 in.","Low silver turtle figurine with four legs and gold-toned segmented shell panels","","true","true"
"6","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 2.00.39 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/06-gold-accent-shivling-silver-idol.png","SM-SH-2","SH","SM-SH-2 — Gold-Accent Shivling Silver Idol","gold-accent-shivling-silver-idol","category-idols","","silver","92.5","310","2.5","","","","","solid","deity-shiva","A silver Shivling with red tripundra detail, engraved cobra on the yoni base and gold accents on a tiered pedestal. Purity: 92.5%. Weight: 310 g. Height: 2.5 in.","Silver Shivling with red tripundra, engraved cobra, elongated yoni base and gold-accent pedestal","","true","true"
"7","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 2.01.25 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/07-saraswati-silver-idol-lotus-veena.png","SM-SR-1","SR","SM-SR-1 — Saraswati Silver Idol on Lotus with Veena","solid-saraswati-silver-idol-on-lotus-with-veena","category-idols","","silver","92.5","322","2.5","","","","","solid","deity-saraswati","A seated four-arm Saraswati silver idol playing a long veena on a layered lotus base, with an ornate crown and painted face. Purity: 92.5%. Weight: 322 g. Height: 2.5 in.","Seated four-arm Saraswati silver idol playing a veena on a layered lotus base","","true","true"
"8","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 2.02.34 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/08-auspicious-silver-fish-figurine.png","SM-FS-1","FS","SM-FS-1 — Engraved Auspicious Silver Fish Figurine","engraved-auspicious-silver-fish-figurine","category-idols","","silver","92.5","90","1","","","","","solid","deity-vishnu","A horizontal auspicious silver fish figurine with overlapping engraved scales, split tail, fins and black eye detail. Purity: 92.5%. Weight: 90 g. Height: 1 in.","Horizontal silver fish figurine with overlapping engraved scales, split tail and black eye detail","","true","true"
"9","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 3.25.53 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/09-standing-radha-krishna-silver-idol-gold-accents.png","SM-RK-2","RK","SM-RK-2 — Tall Gold-Accent Radha Krishna Silver Idol Pair","tall-gold-accent-radha-krishna-silver-idol-pair","category-idols","","silver","92.5","1415","5.5","","","","","solid","deity-radha | deity-krishna","A tall standing Radha Krishna silver idol pair on one oval base, with Krishna holding a flute and restrained gold accents. Purity: 92.5%. Weight: 1,415 g. Height: 5.5 in.","Tall standing Radha Krishna silver idol pair with flute, shared oval base and gold accents","","true","true"
"10","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 3.27.01 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/10-compact-standing-radha-krishna-silver-idol-pair.png","SM-RK-3","RK","SM-RK-3 — Compact Standing Radha Krishna Silver Idol Pair","compact-standing-radha-krishna-silver-idol-pair","category-idols","","silver","92.5","116","2","","","","","solid","deity-radha | deity-krishna","A compact standing Radha Krishna silver idol pair on a textured rectangular base, with Krishna playing a flute. Purity: 92.5%. Weight: 116 g. Height: 2 in.","Compact standing Radha Krishna silver idol pair with flute on a textured rectangular base","","true","true"
"11","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 3.27.52 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/11-seated-radha-krishna-silver-idol.png","SM-RK-4","RK","SM-RK-4 — Seated Radha Krishna Silver Idol with Flute","seated-radha-krishna-silver-idol-with-flute","category-idols","","silver","92.5","307","2.5","","","","","solid","deity-radha | deity-krishna","A seated Radha Krishna silver idol on a layered oval base, with Krishna holding a horizontal flute and Radha leaning close. Purity: 92.5%. Weight: 307 g. Height: 2.5 in.","Seated Radha Krishna silver idol with horizontal flute on a layered oval base","","true","true"
"12","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 3.28.39 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/12-kuber-silver-idol-on-throne-gold-accents.png","SM-KB-1","KB","SM-KB-1 — Gold-Accent Kuber Silver Idol on Throne","gold-accent-kuber-silver-idol-on-throne","category-idols","","silver","92.5","321","2.5","","","","","solid","deity-kuber","A seated Kuber silver idol on a four-legged throne, with one palm raised, a small vessel and restrained gold accents. Purity: 92.5%. Weight: 321 g. Height: 2.5 in.","Seated Kuber silver idol on four-legged throne with raised palm, vessel and gold accents","","true","true"
"13","C:\Users\kk\Desktop\img\WhatsApp Image 2026-09-01 at 3.29.35 PM.jpeg","public/images/gallery-ingestion/img-2026-09-02-ai-enhanced/images/13-compact-radha-krishna-silver-idol-flute.png","SM-RK-5","RK","SM-RK-5 — Compact Radha Krishna Silver Idol with Flute","compact-radha-krishna-silver-idol-with-flute","category-idols","","silver","92.5","265","2.5","","","","","solid","deity-radha | deity-krishna","A compact standing Radha Krishna silver idol pair on a rocky base, with Krishna playing a flute and Radha close behind. Purity: 92.5%. Weight: 265 g. Height: 2.5 in.","Compact standing Radha Krishna silver idol pair with flute on a rocky base","","true","true"
