"number","sourcePath","imagePath","reference","referenceFamily","title","slug","categoryId","utensilType","material","purity","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 2.19.36 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/01-ornate-long-spout-silver-ewer.png","DDA-UT-JG-97","","Ornate Long-Spout Silver Ewer","ornate-long-spout-silver-ewer","category-utensils","jug","silver","","300","6.5","","","","","","","Ornate silver ewer with a long curved spout and embossed body; label states 300 g and 6.5 in height.","Ornate silver ewer with a long curved spout","purity | labour","true","false"
"2","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 2.21.06 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/02-tall-lidded-long-spout-silver-ewer.png","DDA-UT-JG-98","","Tall Lidded Long-Spout Silver Ewer","tall-lidded-long-spout-silver-ewer","category-utensils","jug","silver","","380","9.5","","","","","","","Tall lidded silver ewer with an embossed finial and long curved spout; label states 380 g and 9.5 in height.","Tall lidded silver ewer with long curved spout","purity | labour","true","false"
"3","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 2.24.55 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/03-five-tapered-embossed-silver-cone-set.png","","","Five Tapered Embossed Silver Cone Set","five-tapered-embossed-silver-cone-set","category-gifts","","silver","","650","9","","","","","","","Set of five tapered embossed silver cone forms; label states 650 g and 9 in height, pending confirmation whether weight is per set.","Five tapered embossed silver cone forms in a set","purity | labour | owner confirmation of set weight/category | Item reference pending confirmed product category/type and live code allocation.","true","false"
"4","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 2.39.02 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/04-eight-auspicious-symbol-silver-stand-set.png","","","Eight Auspicious Symbol Silver Stand Set","eight-auspicious-symbol-silver-stand-set","category-gifts","","silver","","450","6","","","","","","","Set of eight silver auspicious-symbol stands with varied relief motifs; label states 450 g and 6 in height, pending set-weight confirmation.","Eight silver auspicious-symbol stands with relief motifs","purity | labour | owner confirmation of set weight/category | Item reference pending confirmed product category/type and live code allocation.","true","false"
"5","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 3.09.27 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/05-tall-ceremonial-silver-canopy-stand.png","","","Tall Ceremonial Silver Canopy Stand","tall-ceremonial-silver-canopy-stand","category-gifts","","silver","","2000","34","","","","","","","Tall ceremonial silver canopy stand with a decorative top and central medallion; label states 2 kg and 34 in height.","Tall ceremonial silver canopy stand with decorative medallion","purity | labour | owner confirmation of exact product type/category | Item reference pending confirmed product category/type and live code allocation. | Visual review: original photo clips the top hanging loop; generated completion is not verified against the source.","true","false"
"6","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 3.53.24 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/06-small-pedestal-bowl.png","DDA-UT-BW-111","","Small Pedestal Silver Bowl","small-pedestal-silver-bowl","category-utensils","bowl","silver","","20","2","","","","","","","Small polished silver pedestal bowl; label states 20 g and 2 in height.","Small polished silver bowl on a pedestal","purity | labour","true","false"
"7","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 3.55.34 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/07-small-handled-pedestal-silver-bowl.png","DDA-UT-BW-112","","Small Handled Pedestal Silver Bowl","small-handled-pedestal-silver-bowl","category-utensils","bowl","silver","","25","2","","","","","","","Small handled silver pedestal bowl; label states 25 g and 2 in height.","Small handled silver bowl on a pedestal","purity | labour","true","false"
"8","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 3.57.55 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/08-tiny-pedestal-silver-bowl.png","DDA-UT-BW-113","","Tiny Pedestal Silver Bowl","tiny-pedestal-silver-bowl","category-utensils","bowl","silver","","10","1.5","","","","","","","Tiny polished silver pedestal bowl; label states 10 g and 1.5 in height.","Tiny polished silver bowl on a pedestal","purity | labour","true","false"
"9","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 3.59.41 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/09-tiny-handled-pedestal-silver-bowl.png","DDA-UT-BW-114","","Tiny Handled Pedestal Silver Bowl","tiny-handled-pedestal-silver-bowl","category-utensils","bowl","silver","","15","1.5","","","","","","","Tiny handled silver pedestal bowl; label states 15 g and 1.5 in height.","Tiny handled silver bowl on a pedestal","purity | labour","true","false"
"10","C:/Users/kk/Desktop/img/WhatsApp Image 2026-09-05 at 4.13.28 PM.jpeg","public/images/gallery-ingestion/img-2026-09-10/images/10-silver-diya-bowl-on-tray.png","","","Silver Diya Bowl on Tray","silver-diya-bowl-on-tray","category-gifts","","silver","","200","3.5","","","","","","","Wide silver diya bowl on a circular tray; label states 200 g and 3.5 in height.","Wide silver diya bowl on a circular tray","purity | labour | Item reference pending confirmed product category/type and live code allocation. | Confirm diya category/reference; current utensil schema has no diya type.","true","false"
