"number","provisionalName","labelWeightGrams","heightInches","labourAmount","labourUnit","sourceFilename"
"1","Long-spout jug","300","6.5","","","WhatsApp Image 2026-09-05 at 2.19.36 PM.jpeg"
"2","Tall long-spout jug","380","9.5","","","WhatsApp Image 2026-09-05 at 2.21.06 PM.jpeg"
"3","Five embossed towers (weight basis unconfirmed)","650","9","","","WhatsApp Image 2026-09-05 at 2.24.55 PM.jpeg"
"4","Eight auspicious-symbol stands (weight basis unconfirmed)","450","6","","","WhatsApp Image 2026-09-05 at 2.39.02 PM.jpeg"
"5","Tall ceremonial stand with canopy","2000","34","","","WhatsApp Image 2026-09-05 at 3.09.27 PM.jpeg"
"6","Pedestal cup","20","2","","","WhatsApp Image 2026-09-05 at 3.53.24 PM.jpeg"
"7","Handled pedestal cup","25","2","","","WhatsApp Image 2026-09-05 at 3.55.34 PM.jpeg"
"8","Tiny pedestal cup","10","1.5","","","WhatsApp Image 2026-09-05 at 3.57.55 PM.jpeg"
"9","Tiny handled pedestal cup","15","1.5","","","WhatsApp Image 2026-09-05 at 3.59.41 PM.jpeg"
"10","Bowl / diya on tray","200","3.5","","","WhatsApp Image 2026-09-05 at 4.13.28 PM.jpeg"
"11","Leaf-engraved round vessel","500","7","","","WhatsApp Image 2026-09-05 at 5.41.08 PM.jpeg"
"12","Floral round vessel","650","8","","","WhatsApp Image 2026-09-05 at 5.42.07 PM.jpeg"
"13","Om vessel with hanging ornaments","800","8","","","WhatsApp Image 2026-09-05 at 5.44.18 PM.jpeg"
"14","Large plain round vessel","1400","10","","","WhatsApp Image 2026-09-05 at 5.45.36 PM.jpeg"
"15","Plain round vessel","500","7","","","WhatsApp Image 2026-09-05 at 5.46.45 PM.jpeg"
"16","Plain round vessel","700","8","","","WhatsApp Image 2026-09-05 at 5.47.35 PM.jpeg"
"17","Floral cylindrical pedestal","750","8","","","WhatsApp Image 2026-09-05 at 5.52.19 PM.jpeg"
"18","Floral cylindrical pedestal","1000","10","","","WhatsApp Image 2026-09-05 at 5.53.44 PM.jpeg"
"19","Floral cylindrical pedestal","1500","12","","","WhatsApp Image 2026-09-05 at 5.58.11 PM.jpeg"
"20","Large ornate cylindrical pedestal","2000","14","","","WhatsApp Image 2026-09-05 at 6.00.01 PM.jpeg"
"21","Checker-band cylindrical pedestal","1200","10","","","WhatsApp Image 2026-09-05 at 6.01.26 PM.jpeg"
"22","Figure-topped ceremonial tripod","440","20","","","WhatsApp Image 2026-09-08 at 4.13.12 PM.jpeg"
"23","Lidded decorative container","130","5","","","WhatsApp Image 2026-09-08 at 4.13.52 PM.jpeg"
