"number","sourcePath","imagePath","reference","previousReference","title","categoryId","utensilType","purity","weightGrams","heightInches","widthInches","diameterInches","suppliedSizeLabel","suppliedDepthInches","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 3.25.33 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/jh-13-fan-crest-peacock-floral-silver-jhula.png","JH-13","","Fan-Crest Peacock Floral Silver Jhula","category-jhula","","92.5","1815","","","","","","An ornate silver jhula weighing 1815 g, with a fan-tail peacock crest, paired peacocks, floral scrollwork and an engraved suspended seat. Purity: 92.5%.","Ornate silver jhula with fan-tail peacock crest, floral arch, four supports and engraved suspended seat","Owner must supply the verified singhasan width and depth; they were not visible in the source photograph.","true","false"
"2","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 3.25.49 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/jh-14-swan-seat-peacock-arch-silver-jhula.png","JH-14","","Swan Seat Peacock Arch Silver Jhula","category-jhula","","92.5","1868","","","","","","An ornate silver jhula weighing 1868 g, with a sculpted swan seat back, paired peacocks, fan-tail crest and floral arch. Purity: 92.5%.","Silver jhula with sculpted swan seat, paired peacocks, fan-tail crest, four supports and hanging chains","Owner must supply the verified singhasan width and depth; they were not visible in the source photograph.","true","false"
"3","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.04.21 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-01-om-shubh-labh-gold-accent-silver-nariyal-3in.png","NY-01","SD-11","Om Shubh Labh Gold-Accent Silver Nariyal","category-gifts","","92.5","25","3","","","","","A ceremonial silver nariyal with gold-toned accents and auspicious Om and Shubh Labh motifs. Weight: 25 g; height: 3 in. Purity: 92.5%.","Coconut-shaped silver nariyal with gold-toned neck, Om and Shubh Labh motifs","","true","false"
"4","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.05.39 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-02-shubh-om-gold-panel-silver-nariyal-3in.png","NY-02","SD-12","Shubh Om Gold-Panel Silver Nariyal","category-gifts","","92.5","25","3","","","","","A compact ceremonial silver nariyal with a gold-toned upper panel, engraved Shubh and Om motifs and a polished centre band. Weight: 25 g; height: 3 in. Purity: 92.5%.","Compact coconut-shaped silver nariyal with gold-toned panel and engraved Shubh and Om motifs","","true","false"
"5","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.06.41 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-03-swastik-om-gold-accent-silver-nariyal-4in.png","NY-03","SD-13","Swastik Om Gold-Accent Silver Nariyal","category-gifts","","92.5","45","4","","","","","A ceremonial silver nariyal with a gold-toned neck, Swastik upper panel and Om lower panel. Weight: 45 g; height: 4 in. Purity: 92.5%.","Coconut-shaped silver nariyal with gold-toned neck and Swastik and Om panels","","true","false"
"6","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.07.12 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-04-shubh-om-fine-line-silver-nariyal-4in.png","NY-04","SD-14","Shubh Om Fine-Line Silver Nariyal","category-gifts","","92.5","45","4","","","","","A ceremonial silver nariyal with fine-line Shubh and Om motifs, a gold-toned neck and polished centre band. Weight: 45 g; height: 4 in. Purity: 92.5%.","Coconut-shaped silver nariyal with fine-line Shubh and Om motifs and gold-toned neck","","true","false"
"7","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.08.56 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-05-auspicious-script-gold-neck-silver-nariyal-5in.png","NY-05","SD-15","Auspicious Script Gold-Neck Silver Nariyal","category-gifts","","92.5","65","5","","","","","A tall ceremonial silver nariyal with a gold-toned neck, finely engraved auspicious script and a polished centre band. Weight: 65 g; height: 5 in. Purity: 92.5%.","Tall coconut-shaped silver nariyal with gold-toned neck and engraved auspicious script","","true","false"
"8","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.10.28 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-06-om-swastik-gold-band-silver-nariyal-5in.png","NY-06","SD-16","Om Swastik Gold-Band Silver Nariyal","category-gifts","","92.5","65","5","","","","","A tall ceremonial silver nariyal with gold-toned Om and Swastik motifs and a broad polished centre band. Weight: 65 g; height: 5 in. Purity: 92.5%.","Tall coconut-shaped silver nariyal with gold-toned Om and Swastik motifs and polished centre band","","true","false"
"9","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.16.15 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-07-large-swastik-om-silver-nariyal-6in.png","NY-07","SD-17","Large Swastik Om Silver Nariyal","category-gifts","","92.5","100","6","","","","","A large ceremonial silver nariyal with an engraved Swastik upper panel, Om lower panel and wide centre band. Weight: 100 g; height: 6 in. Purity: 92.5%.","Large coconut-shaped silver nariyal with engraved Swastik and Om panels","","true","false"
"10","C:\Users\kk\Desktop\k\WhatsApp Image 2026-08-12 at 4.16.36 PM.jpeg","public/images/gallery-ingestion/k-2026-08-13/images/ny-08-large-gold-neck-swastik-om-silver-nariyal-6in.png","NY-08","SD-18","Large Gold-Neck Swastik Om Silver Nariyal","category-gifts","","92.5","100","6","","","","","A large ceremonial silver nariyal with a gold-toned neck, Swastik and Om panels and polished centre band. Weight: 100 g; height: 6 in. Purity: 92.5%.","Large coconut-shaped silver nariyal with gold-toned neck, Swastik upper panel and Om lower panel","","true","false"
