"sourceSequence","sourceFilename","categoryId","number","id","title","slug","purity","weightGrams","heightInches","reference","readyForProductPublish","publishBlockers","shortDescription","alt","imagePath"
"1","WhatsApp Image 2026-08-02 at 4.06.46 PM.jpeg","category-idols","145","product-dda-idol-145-painted-gold-fin-fish-silver-figurine","Painted Gold-Fin Fish Silver Figurine","painted-gold-fin-fish-silver-figurine","99.80","10","1.5","HM-FS-2","true","","A hollow 99.80% pure silver fish figurine with engraved scales, gold-toned fins, and painted scale accents. Weight: 10 g. Height: 1.5 in.","Silver fish figurine with gold-toned fins and painted scales on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-145-painted-gold-fin-fish-silver-figurine.png"
"2","WhatsApp Image 2026-08-02 at 4.08.10 PM.jpeg","category-idols","146","product-dda-idol-146-miniature-fish-silver-figurine-pair","Miniature Fish Silver Figurine Pair","miniature-fish-silver-figurine-pair","99.80","5","1","HM-FS-3","true","","A hollow 99.80% pure silver pair of facing fish figurines with engraved scales and contrasting fin details. Weight: 5 g. Height: 1 in.","Pair of facing silver fish figurines with engraved scales on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-146-miniature-fish-silver-figurine-pair.png"
"3","WhatsApp Image 2026-08-02 at 4.09.42 PM.jpeg","category-idols","147","product-dda-idol-147-painted-turtle-silver-figurine-pair","Painted Turtle Silver Figurine Pair","painted-turtle-silver-figurine-pair","99.80","15","1","HM-TL-1","true","","A hollow 99.80% pure silver pair of turtle figurines with patterned shells and restrained yellow and red paintwork. Weight: 15 g. Height: 1 in.","Pair of silver turtle figurines with patterned shells and painted accents on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-147-painted-turtle-silver-figurine-pair.png"
"4","WhatsApp Image 2026-08-02 at 4.11.46 PM.jpeg","category-gifts","1","product-dda-gift-01-br-ambedkar-silver-figurine-book","B. R. Ambedkar Silver Figurine with Book","br-ambedkar-silver-figurine-book","99.80","50","4.5","DDA-GF-BA-01","true","","A 99.80% pure silver B. R. Ambedkar figurine standing on a round pedestal with a raised hand and book. Weight: 50 g. Height: 4.5 in.","B. R. Ambedkar silver figurine with raised hand and book on the warm ivory DDA Silver background","public/images/silver-gifts/new-folder-2-2026-08-05/gift-01-br-ambedkar-silver-figurine.png"
"5","WhatsApp Image 2026-08-02 at 4.12.51 PM.jpeg","category-gifts","2","product-dda-gift-02-painted-br-ambedkar-silver-figurine-book","Painted B. R. Ambedkar Silver Figurine with Book","painted-br-ambedkar-silver-figurine-book","99.80","50","4.5","DDA-GF-BA-02","true","","A 99.80% pure silver B. R. Ambedkar figurine with a raised hand, book, round pedestal, and painted formal attire. Weight: 50 g. Height: 4.5 in.","Painted B. R. Ambedkar silver figurine with raised hand and book on the DDA Silver background","public/images/silver-gifts/new-folder-2-2026-08-05/gift-02-painted-br-ambedkar-silver-figurine.png"
"6","WhatsApp Image 2026-08-02 at 4.17.08 PM.jpeg","category-idols","148","product-dda-idol-148-painted-tulsi-pedestal-silver-idol","Painted Tulsi Pedestal Silver Idol","painted-tulsi-pedestal-silver-idol","99.80","15","2.5","HM-TS-1","true","","A hollow 99.80% pure silver Tulsi pedestal with an engraved shrine body, swastika motif, and green painted leaves. Weight: 15 g. Height: 2.5 in.","Silver Tulsi pedestal with green leaves and engraved shrine details on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-148-painted-tulsi-pedestal-silver-idol.png"
"7","WhatsApp Image 2026-08-02 at 4.18.16 PM.jpeg","category-idols","149","product-dda-idol-149-rama-silver-idol-ornate-arch","Rama Silver Idol Beneath Ornate Arch","rama-silver-idol-ornate-arch","99.80","25","3","HM-RM-11","true","","A hollow 99.80% pure silver standing Rama idol with a bow, quiver, painted facial details, and an ornate arched frame. Weight: 25 g. Height: 3 in.","Standing Rama silver idol with bow and quiver beneath an ornate arch on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-149-rama-silver-idol-ornate-arch.png"
"8","WhatsApp Image 2026-08-02 at 4.19.51 PM.jpeg","category-idols","150","product-dda-idol-150-compact-rama-silver-idol-bow","Compact Rama Silver Idol with Bow","compact-rama-silver-idol-bow","99.80","10","2.5","HM-RM-12","true","","A compact hollow 99.80% pure silver standing Rama idol holding a bow, with a quiver and painted facial details. Weight: 10 g. Height: 2.5 in.","Compact standing Rama silver idol with bow and quiver on the warm ivory DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-150-compact-rama-silver-idol-bow.png"
"9","WhatsApp Image 2026-08-02 at 4.21.10 PM.jpeg","category-idols","151","product-dda-idol-151-painted-compact-rama-silver-idol-bow","Painted Compact Rama Silver Idol with Bow","painted-compact-rama-silver-idol-bow","99.80","10","2.5","HM-RM-13","true","","A compact hollow 99.80% pure silver standing Rama idol with a bow, quiver, and gold-toned painted highlights. Weight: 10 g. Height: 2.5 in.","Compact Rama silver idol with bow quiver and gold-toned highlights on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-151-painted-compact-rama-silver-idol-bow.png"
"10","WhatsApp Image 2026-08-02 at 4.22.25 PM.jpeg","category-idols","152","product-dda-idol-152-lakshmi-narayan-silver-idol-pair-lotus-bases","Lakshmi Narayan Silver Idol Pair on Lotus Bases","lakshmi-narayan-silver-idol-pair-lotus-bases","99.80","105","5","HM-LN-4","true","","A hollow 99.80% pure silver Lakshmi Narayan idol pair with four-arm forms, lotus bases, halos, and gold-toned details. Weight: 105 g. Height: 5 in.","Lakshmi and Narayan silver idol pair with halos on separate lotus bases on the DDA Silver background","public/images/silver-idols/new-folder-2-2026-08-05/idol-152-lakshmi-narayan-silver-idol-pair-lotus-bases.png"
