"number","originalNumber","sourcePath","imagePath","reference","title","slug","categoryId","productTerminology","utensilType","material","purity","sourcePurityClaim","weightGrams","heightInches","widthInches","depthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","dimensionRequirementWaivedByOwner","dimensionInterpretation","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 1.27.28 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/01-leaf-rim-puja-thali-set.png","DDA-UT-PT-1","Leaf-Rim Puja Thali Set","leaf-rim-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"950",,,,"11",,,,,,,"","A silver puja thali with an embossed leaf rim, kalash, bell and two bowls. Weight: 950 g. Diameter: 11 in. Purity: 92.5%.","Silver puja thali set with embossed leaf rim, kalash, bell and two bowls","","True","True"
"2",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.44.24 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/02-peacock-handle-floral-puja-thali-set.png","DDA-UT-PT-2","Peacock-Handle Floral Puja Thali Set","peacock-handle-floral-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"500",,,,"10",,,,,,,"","A layered floral silver puja thali with a peacock handle, kalash and two bowls. Weight: 500 g. Diameter: 10 in. Purity: 92.5%.","Layered floral silver puja thali with peacock handle, kalash and two bowls","","True","True"
"3",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.45.41 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/03-butterfly-floral-puja-thali-set.png","DDA-UT-PT-3","Butterfly Floral Puja Thali Set","butterfly-floral-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"475",,,,"8",,,,,,,"","A silver puja thali with pointed floral edging, butterfly detail, pedestal diya, kalash and two bowls. Weight: 475 g. Diameter: 8 in. Purity: 92.5%.","Silver puja thali with pointed floral edge, butterfly detail, diya, kalash and two bowls","","True","True"
"4",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.51.19 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/04-lotus-rim-puja-thali-set.png","DDA-UT-PT-4","Lotus-Rim Puja Thali Set","lotus-rim-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"535",,,,"9",,,,,,,"","A layered silver puja thali with a scalloped lotus rim, central lotus, diya, kalash and two bowls. Weight: 535 g. Diameter: 9 in. Purity: 92.5%.","Layered silver puja thali with scalloped lotus rim, diya, kalash and two bowls","","True","True"
"5",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.55.34 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/05-swastika-floral-puja-thali-set.png","DDA-UT-PT-5","Swastika Floral Puja Thali Set","swastika-floral-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"520",,,,"9",,,,,,,"","A silver puja thali with floral fringe, auspicious swastika relief, diya, kalash and two bowls. Weight: 520 g. Diameter: 9 in. Purity: 92.5%.","Silver floral puja thali with auspicious swastika relief, diya, kalash and two bowls","","True","True"
"6",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.56.57 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/06-enamel-floral-puja-thali-set.png","DDA-UT-PT-6","Enamel Floral Puja Thali Set","enamel-floral-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"975",,,,"12",,,,,,,"","A silver puja thali with multicolour enamel floral border, kalash, bowl and lidded rectangular box. Weight: 975 g. Diameter: 12 in. Purity: 92.5%.","Silver puja thali with multicolour enamel floral border, kalash, bowl and lidded box","","True","True"
"7",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 2.58.48 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/07-turquoise-enamel-lobed-puja-thali-set.png","DDA-UT-PT-7","Turquoise Enamel Lobed Puja Thali Set","turquoise-enamel-lobed-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"1235",,,,"13",,,,,,,"","A lobed silver puja thali with turquoise, red, yellow and white enamel, a box, bowl and kalash. Weight: 1,235 g. Diameter: 13 in. Purity: 92.5%.","Lobed silver puja thali with turquoise enamel, lidded box, bowl and kalash","","True","True"
"8",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.02.16 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/08-peacock-feather-enamel-puja-thali-set.png","DDA-UT-PT-8","Peacock-Feather Enamel Puja Thali Set","peacock-feather-enamel-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"806",,,,"10",,,,,,,"","A silver puja thali with blue, green and yellow peacock-feather enamel, an open box, bowl and kalash. Weight: 806 g. Diameter: 10 in. Purity: 92.5%.","Silver puja thali with peacock-feather enamel, open box, bowl and kalash","","True","True"
"9",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.07.44 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/09-red-lotus-enamel-puja-thali-set.png","DDA-UT-PT-9","Red Lotus Enamel Puja Thali Set","red-lotus-enamel-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"830",,,,"10",,,,,,,"","A silver puja thali with red enamel lotus panels, leaf panels, box, bowl and kalash. Weight: 830 g. Diameter: 10 in. Purity: 92.5%.","Silver puja thali with red lotus enamel panels, box, bowl and kalash","","True","True"
"10",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.15.06 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/10-fan-petal-enamel-puja-thali-set.png","DDA-UT-PT-10","Fan-Petal Enamel Puja Thali Set","fan-petal-enamel-puja-thali-set","category-utensils",,"pooja-thali-set","silver","92.5",,"585",,,,"9",,,,,,,"","A silver puja thali with multicolour fan-petal enamel, flower clusters, kalash, lidded box and bowl. Weight: 585 g. Diameter: 9 in. Purity: 92.5%.","Silver puja thali with multicolour fan-petal enamel, kalash, box and bowl","","True","True"
"11",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.24.41 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/11-two-tier-arched-silver-hatri.png","DDA-GF-PICS-11","Two-Tier Arched Silver Hatri","two-tier-arched-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"590","11",,,,,,,,,,"","A two-tier house-shaped silver Hatri with paired arches, four ritual cups and an Om flag for Diwali puja. Weight: 590 g. Height: 11 in. Purity: 92.5%.","Two-tier house-shaped silver Hatri with paired arches, four ritual cups and Om flag","","True","True"
"12",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.26.16 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/12-compact-two-tier-silver-hatri.png","DDA-GF-PICS-12","Compact Two-Tier Silver Hatri","compact-two-tier-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"400","10",,,,,,,,,,"","A compact two-tier house-shaped silver Hatri with arched openings, four ritual cups and an Om flag for Diwali puja. Weight: 400 g. Height: 10 in. Purity: 92.5%.","Compact two-tier house-shaped silver Hatri with arched openings, four ritual cups and Om flag","","True","True"
"13",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.29.17 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/13-three-tier-six-cup-silver-hatri.png","DDA-GF-PICS-13","Three-Tier Six-Cup Silver Hatri","three-tier-six-cup-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"1036","15",,,,,,,,,,"","A tall three-tier house-shaped silver Hatri with six ritual cups and an Om flag, designed as a Diwali puja centerpiece. Weight: 1,036 g. Height: 15 in. Purity: 92.5%.","Tall three-tier house-shaped silver Hatri with six ritual cups and Om flag","","True","True"
"14",,"C:\Users\kk\Desktop\Pics\WhatsApp Image 2026-08-22 at 3.32.22 PM.jpeg","public/images/gallery-ingestion/pics-2026-08-25/images/14-peacock-crown-three-tier-silver-hatri.png","DDA-GF-PICS-14","Peacock-Crown Three-Tier Silver Hatri","peacock-crown-three-tier-silver-hatri","category-gifts","Hatri — a house-shaped Diwali puja article.",,"silver","92.5",,"685","11",,,,,,,,,,"","A three-tier house-shaped silver Hatri with an ornate peacock crown and engraved arches for Diwali puja display. Weight: 685 g. Height: 11 in. Purity: 92.5%.","Three-tier house-shaped silver Hatri with peacock crown and engraved arches","","True","True"
