"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-07-31 at 12.42.12 PM.jpeg","idol-34-whatsapp-image-2026-07-31-at-12-42-12-pm.png","Painted Four-Arm Ganesha Silver Idol on Lotus","30","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.44.57 PM.jpeg","idol-35-whatsapp-image-2026-07-31-at-12-44-57-pm.png","Painted Ganesha Silver Idol with Pink Turban","10","2","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.45.24 PM.jpeg","idol-36-whatsapp-image-2026-07-31-at-12-45-24-pm.png","Ganesha Silver Idol with Silver Turban","10","2","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.46.13 PM.jpeg","idol-37-whatsapp-image-2026-07-31-at-12-46-13-pm.png","Painted Ganesha Silver Idol on Lotus with Orange Dhoti","20","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.47.49 PM.jpeg","idol-38-whatsapp-image-2026-07-31-at-12-47-49-pm.png","Painted Seated Ganesha Silver Idol with Yellow Dhoti","30","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.49.21 PM.jpeg","idol-39-whatsapp-image-2026-07-31-at-12-49-21-pm.png","Four-Arm Ganesha Silver Idol on Lotus","30","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.50.39 PM.jpeg","idol-40-whatsapp-image-2026-07-31-at-12-50-39-pm.png","Painted Four-Arm Ganesha Silver Idol with Yellow Dhoti","40","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.51.47 PM.jpeg","idol-41-whatsapp-image-2026-07-31-at-12-51-47-pm.png","Painted Four-Arm Ganesha Silver Idol with Red Stole","50","3.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.52.37 PM.jpeg","idol-42-whatsapp-image-2026-07-31-at-12-52-37-pm.png","Painted Ganesha Silver Idol on Mushak","65","4.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.56.58 PM.jpeg","idol-43-whatsapp-image-2026-07-31-at-12-56-58-pm.png","Five Ganesha Silver Idol Set","105","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 12.59.04 PM.jpeg","idol-44-whatsapp-image-2026-07-31-at-12-59-04-pm.png","Painted Laughing Buddha Silver Idol","20","2.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.00.46 PM.jpeg","idol-45-whatsapp-image-2026-07-31-at-1-00-46-pm.png","Painted Shiva Family Silver Idol with Nandi","105","4.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.02.04 PM.jpeg","idol-46-whatsapp-image-2026-07-31-at-1-02-04-pm.png","Maharaja Agrasen Silver Idol on Throne","125","5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.04.48 PM.jpeg","idol-47-whatsapp-image-2026-07-31-at-1-04-48-pm.png","Painted Crawling Bal Krishna Silver Idol","250","6","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.05.40 PM.jpeg","idol-48-whatsapp-image-2026-07-31-at-1-05-40-pm.png","Yashoda with Bal Krishna Silver Idol","40","6","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.07.01 PM.jpeg","idol-49-whatsapp-image-2026-07-31-at-1-07-01-pm.png","Auspicious Elephant Silver Idol","140","4","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.08.05 PM.jpeg","idol-50-whatsapp-image-2026-07-31-at-1-08-05-pm.png","Painted Lakshmi Narayan Silver Idol on Sheshnag","125","5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.09.40 PM.jpeg","idol-51-whatsapp-image-2026-07-31-at-1-09-40-pm.png","Saraswati Silver Idol on Swan with Veena","100","6","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.12.05 PM.jpeg","idol-52-whatsapp-image-2026-07-31-at-1-12-05-pm.png","Auspicious Owl Silver Idol","25","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.32.35 PM.jpeg","idol-53-whatsapp-image-2026-07-31-at-1-32-35-pm.png","Ganesha Silver Idol Riding Mushak","25","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.33.28 PM.jpeg","idol-54-whatsapp-image-2026-07-31-at-1-33-28-pm.png","Painted Ganesha Silver Idol Worshipping Shivling","15","2","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.36.12 PM.jpeg","idol-55-whatsapp-image-2026-07-31-at-1-36-12-pm.png","Radha Krishna Silver Idol with Flute","15","2.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.37.37 PM.jpeg","idol-56-whatsapp-image-2026-07-31-at-1-37-37-pm.png","Painted Radha Krishna Silver Idol with Flute","15","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.39.14 PM.jpeg","idol-57-whatsapp-image-2026-07-31-at-1-39-14-pm.png","Painted Standing Radha Krishna Silver Idol in Yellow","25","3.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.40.29 PM.jpeg","idol-58-whatsapp-image-2026-07-31-at-1-40-29-pm.png","Painted Standing Radha Krishna Silver Idol in Red and Green","35","3.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.41.26 PM.jpeg","idol-59-whatsapp-image-2026-07-31-at-1-41-26-pm.png","Radha Krishna Silver Idol with Cow","40","3","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.42.18 PM.jpeg","idol-60-whatsapp-image-2026-07-31-at-1-42-18-pm.png","Radha Krishna Silver Idol with Flute on Lotus","30","4","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.43.03 PM.jpeg","idol-61-whatsapp-image-2026-07-31-at-1-43-03-pm.png","Painted Seated Radha Krishna Silver Idol","65","4","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.44.02 PM.jpeg","idol-62-whatsapp-image-2026-07-31-at-1-44-02-pm.png","Painted Standing Radha Krishna Silver Idol on Lotus","11","2.5","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.45.52 PM.jpeg","idol-63-whatsapp-image-2026-07-31-at-1-45-52-pm.png","Painted Radha Krishna Silver Idol Pair","100","6","catalog","","true",""
"WhatsApp Image 2026-07-31 at 1.46.58 PM.jpeg","idol-64-whatsapp-image-2026-07-31-at-1-46-58-pm.png","Seated Radha Krishna Silver Idol","20","2.5","catalog","","true",""
