imageNumber,productName,weightGrams,heightInches,sourceFilename,outputFilename
20,Bal Krishna with Butter Pot,32,3,WhatsApp Image 2026-07-30 at 5.24.36 PM.jpeg,idol-20-bal-krishna-butter-pot-32g-3in.png
21,Seated Guru Nanak,14,3,WhatsApp Image 2026-07-30 at 7.12.25 PM.jpeg,idol-21-guru-nanak-seated-14g-3in.png
22,Radha Krishna with Peacock,15,2,WhatsApp Image 2026-07-30 at 7.13.49 PM.jpeg,idol-22-radha-krishna-peacock-15g-2in.png
23,Painted Bal Krishna,15,2.5,WhatsApp Image 2026-07-30 at 7.14.55 PM.jpeg,idol-23-bal-krishna-painted-15g-2-5in.png
24,Painted Radha Krishna with Peacock,15,2,WhatsApp Image 2026-07-30 at 7.15.47 PM.jpeg,idol-24-radha-krishna-painted-peacock-15g-2in.png
25,Painted Durga on Lion,17,2.5,WhatsApp Image 2026-07-30 at 7.17.04 PM.jpeg,idol-25-durga-lion-painted-17g-2-5in.png
26,Painted Jagannath Trio,40,2.5,WhatsApp Image 2026-07-30 at 7.23.48 PM.jpeg,idol-26-jagannath-trio-painted-40g-2-5in.png
27,Painted Kamdhenu with Om Blanket,35,2.5,WhatsApp Image 2026-07-30 at 7.25.52 PM.jpeg,idol-27-kamdhenu-om-calf-painted-35g-2-5in.png
28,Shivling with Cobra,15,2.5,WhatsApp Image 2026-07-30 at 7.27.20 PM.jpeg,idol-28-shivling-cobra-15g-2-5in.png
29,Saraswati on Lotus with Veena,55,3.5,WhatsApp Image 2026-07-30 at 7.28.25 PM.jpeg,idol-29-saraswati-lotus-veena-55g-3-5in.png
30,Painted Standing Radha Krishna,15,3,WhatsApp Image 2026-07-30 at 7.29.35 PM.jpeg,idol-30-radha-krishna-standing-painted-15g-3in.png
31,Large Crawling Bal Krishna,65,5,WhatsApp Image 2026-07-30 at 7.30.39 PM.jpeg,idol-31-crawling-bal-krishna-large-65g-5in.png
32,Painted Standing Lakshmi Narayan,35,3.5,WhatsApp Image 2026-07-30 at 7.32.42 PM.jpeg,idol-32-lakshmi-narayan-standing-painted-35g-3-5in.png
33,Painted Kamdhenu with Yellow Blanket,40,2.5,WhatsApp Image 2026-07-30 at 7.33.53 PM.jpeg,idol-33-kamdhenu-yellow-blanket-painted-40g-2-5in.png
