"source_filename","output_filename","item_title","weight_grams","height_inches","measurement_source","ocr_confidence","ready_for_upload","review_reasons"
"WhatsApp Image 2026-08-02 at 12.39.29 PM.jpeg","idol-96-painted-kamdhenu-silver-idol-crimson-blanket.png","Painted Kamdhenu Silver Idol with Crimson Blanket","30","1.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 12.41.09 PM.jpeg","idol-97-miniature-kamdhenu-silver-idol-textured-blanket.png","Miniature Kamdhenu Silver Idol with Textured Blanket","10","1","catalog","","true",""
"WhatsApp Image 2026-08-02 at 12.42.25 PM.jpeg","idol-98-kamdhenu-silver-idol-golden-blanket.png","Kamdhenu Silver Idol with Golden Blanket","25","1.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 12.43.14 PM.jpeg","idol-99-kamdhenu-silver-idol-diamond-pattern-blanket.png","Kamdhenu Silver Idol with Diamond-Pattern Blanket","20","1.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 12.43.53 PM.jpeg","idol-100-kamdhenu-silver-idol-ornate-gold-blanket.png","Kamdhenu Silver Idol with Ornate Gold Blanket","35","2","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.16.18 PM.jpeg","idol-101-painted-kamdhenu-silver-idol-red-saddle-cloth.png","Painted Kamdhenu Silver Idol with Red Saddle Cloth","30","1.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.17.26 PM.jpeg","idol-102-mini-kamdhenu-silver-idol-floral-blanket.png","Mini Kamdhenu Silver Idol with Floral Blanket","10","1","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.18.30 PM.jpeg","idol-103-mini-kamdhenu-silver-idol-gold-saddle-cloth.png","Mini Kamdhenu Silver Idol with Gold Saddle Cloth","15","1","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.19.38 PM.jpeg","idol-104-kamdhenu-silver-idol-beaded-blanket-bells.png","Kamdhenu Silver Idol with Beaded Blanket and Bells","50","2.5","catalog","","true",""
"WhatsApp Image 2026-08-02 at 2.20.51 PM.jpeg","idol-105-painted-kamdhenu-silver-idol-green-blanket.png","Painted Kamdhenu Silver Idol with Green Blanket","45","2.5","catalog","","true",""
