"number","id","title","slug","utensilType","purity","weightGrams","heightInches","widthInches","diameterInches","shortDescription","alt","imagePath"
"1","product-dda-utensil-01","Fine-Line Mini Silver Glass","fine-line-mini-silver-tumbler","tumbler","99.80","10","1.5","","","A compact fine-line glass in confirmed 99.80% pure silver, with a supplied weight of 10 g and height of 1.5 in.","Fine-Line Mini Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/01-fine-line-mini-silver-tumbler.png"
"2","product-dda-utensil-02","Double-Band Silver Glass","double-band-silver-tumbler","tumbler","99.80","20","2","","","A double-band glass in confirmed 99.80% pure silver, with a supplied weight of 20 g and height of 2 in.","Double-Band Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/02-double-band-silver-tumbler.png"
"3","product-dda-utensil-03","Triple-Band Silver Glass","triple-band-silver-tumbler","tumbler","99.80","30","2.5","","","A triple-band glass in confirmed 99.80% pure silver, with a supplied weight of 30 g and height of 2.5 in.","Triple-Band Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/03-triple-band-silver-tumbler.png"
"4","product-dda-utensil-04","Polished-Rim Silver Glass","polished-rim-silver-tumbler","tumbler","99.80","40","3","","","A polished-rim glass in confirmed 99.80% pure silver, with a supplied weight of 40 g and height of 3 in.","Polished-Rim Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/04-polished-rim-silver-tumbler.png"
"5","product-dda-utensil-05","Brushed Linear Silver Glass","brushed-linear-silver-tumbler","tumbler","99.80","50","3.5","","","A brushed linear glass in confirmed 99.80% pure silver, with a supplied weight of 50 g and height of 3.5 in.","Brushed Linear Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/05-brushed-linear-silver-tumbler.png"
"6","product-dda-utensil-06","Multi-Ring Silver Glass","multi-ring-silver-tumbler","tumbler","99.80","50","3.5","","","A multi-ring glass in confirmed 99.80% pure silver, with a supplied weight of 50 g and height of 3.5 in.","Multi-Ring Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/06-multi-ring-silver-tumbler.png"
"7","product-dda-utensil-07","Minimal-Band Silver Glass","minimal-band-silver-tumbler","tumbler","99.80","60","4","","","A minimal-band glass in confirmed 99.80% pure silver, with a supplied weight of 60 g and height of 4 in.","Minimal-Band Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/07-minimal-band-silver-tumbler.png"
"8","product-dda-utensil-08","Twin-Line Silver Glass","twin-line-silver-tumbler","tumbler","99.80","70","4","","","A twin-line glass in confirmed 99.80% pure silver, with a supplied weight of 70 g and height of 4 in.","Twin-Line Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/08-twin-line-silver-tumbler.png"
"9","product-dda-utensil-09","Classic Brushed Silver Glass","classic-brushed-silver-tumbler","tumbler","99.80","80","4","","","A classic brushed glass in confirmed 99.80% pure silver, with a supplied weight of 80 g and height of 4 in.","Classic Brushed Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/09-classic-brushed-silver-tumbler.png"
"10","product-dda-utensil-10","Straight-Rim Silver Glass","straight-rim-silver-tumbler","tumbler","99.80","100","4.3","","","A straight-rim glass in confirmed 99.80% pure silver, with a supplied weight of 100 g and height of 4.3 in.","Straight-Rim Silver Glass centered on the warm ivory DDA Silver gallery background","public/images/silver-utensils/ai-gallery-2026-08-02/10-straight-rim-silver-tumbler.png"
