"number","sourcePath","imagePath","reference","title","categoryId","purity","weightGrams","heightInches","widthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-05 at 4.50.23 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/proof/jh-01-ornate-peacock-floral-silver-jhula.png","JH-01","Ornate Peacock Floral Silver Jhula","category-gifts","92.5","1400","","","","","","","","","A 92.5% silver jhula with a richly carved floral frame, peacock details, suspended seat and four decorated supports. Confirmed weight: 1400 g.","Ornate 92.5% silver jhula with peacock details, floral carvings, chains and a suspended seat","","true","true"
"2","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-05 at 4.50.28 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/jh-02-ornate-peacock-floral-silver-jhula.png","JH-02","Peacock Leaf Crest Silver Jhula","category-gifts","92.5","1260","","","","","","","","","A distinct 92.5% silver jhula with peacock finials, a leaf-shaped crest, engraved supports and an ornate suspended seat. Visible weight: 1260 g.","92.5% silver jhula with peacock finials, leaf crest, engraved supports and suspended ornate seat","","true","true"
"3","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.03.47 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/pr-18-peacock-purple-fringe-silver-purse.png","PR-18","Peacock Purple Fringe Silver Purse","category-purse","92.5","643","","","","","","","","","An ornate 92.5% silver purse with peacock motifs, colored stones and a layered purple bead fringe. Confirmed weight: 643 g.","Ornate 92.5% silver peacock purse with colored stones, chain strap and purple bead fringe","","true","true"
"4","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.05.00 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/pr-19-gold-lattice-green-fringe-silver-purse.png","PR-19","Gold Lattice Green Fringe Silver Purse","category-purse","92.5","645","","","","","","","","","A 92.5% silver purse combining gold-toned lattice panels, floral engraving, a jeweled bird clasp and green bead fringe. Confirmed weight: 645 g.","92.5% silver purse with gold lattice, floral engraving, jeweled bird clasp and green bead fringe","","true","true"
"5","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.06.59 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/pr-20-elephant-floral-pink-fringe-silver-purse.png","PR-20","Elephant Floral Pink Fringe Silver Purse","category-purse","92.5","400","","","","","","","","","A handled 92.5% silver purse with elephant and floral decoration, yellow accents and hanging pink beads. Confirmed weight: 400 g.","Handled 92.5% silver purse with elephant and floral decoration, yellow accents and pink bead fringe","","true","true"
"6","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.08.25 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/pr-21-green-stone-floral-chain-silver-purse.png","PR-21","Green Stone Floral Chain Silver Purse","category-purse","92.5","550","","","","","","","","","A handled 92.5% silver purse with gold-toned floral accents, a central green oval stone and its attached long chain. Confirmed weight: 550 g.","Handled 92.5% silver floral purse with green oval stone, gold-toned accents and attached chain","","true","true"
"7","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.09.48 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/pr-22-peacock-white-stone-purple-fringe-silver-purse.png","PR-22","White Stone Peacock Fringe Silver Purse","category-purse","92.5","650","","","","","","","","","A 92.5% silver peacock purse with round white stones, colored accents and purple-and-gold hanging fringe. Confirmed weight: 650 g.","92.5% silver peacock purse with round white stones, colored accents and purple-gold fringe","","true","true"
"8","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.27.52 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-vn-1-venkateswara-silver-idol.png","SSM-VN-1","Venkateswara Arch Semi-solid Silver Idol","category-idols","92.5","1000","7.5","","","","","","semi-solid","deity-vishnu","A semi-solid 92.5% silver Venkateswara idol standing beneath an ornate devotional arch. Confirmed weight: 1000 g; height: 7.5 inches.","Semi-solid 92.5% silver Venkateswara idol standing beneath an ornate arch on a decorated base","","true","true"
"9","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.30.20 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-hn-1-panchmukhi-hanuman-silver-idol.png","SSM-HN-1","Panchmukhi Hanuman Semi-solid Silver Idol","category-idols","92.5","450","4.5","","","","","","semi-solid","deity-hanuman","A semi-solid 92.5% silver Panchmukhi Hanuman idol with five faces and multiple devotional attributes. Confirmed weight: 450 g; height: 4.5 inches.","Five-faced semi-solid 92.5% silver Panchmukhi Hanuman idol with multiple arms and attributes","","true","true"
"10","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-06 at 4.32.18 PM.jpeg","public/images/gallery-ingestion/new-folder-2-2026-08-09/images/ssm-kr-1-ornate-standing-krishna-silver-idol.png","SSM-KR-1","Ornate Standing Krishna Semi-solid Silver Idol","category-idols","92.5","400","5","","","","","","semi-solid","deity-krishna","A semi-solid 92.5% silver standing Krishna figure with elaborate peacock, floral and base details. Visible weight: 400 g; height: 5 inches.","Semi-solid 92.5% silver standing Krishna figure with ornate peacock motifs and a decorated base","","true","true"
