"number","sourcePath","imagePath","reference","title","categoryId","utensilType","purity","weightGrams","heightInches","widthInches","diameterInches","suppliedSizeLabel","singhasanWidthInches","singhasanDepthInches","idolConstruction","deityIds","shortDescription","alt","publishBlockers","readyForSanityAssetUpload","readyForProductPublish"
"1","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 11.56.11 AM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/jh-11-elephant-foot-twin-peacock-silver-jhula.png","JH-11","Elephant Foot Twin Peacock Silver Jhula","category-jhula","","92.5","2629","","","","Singhasan size 8/6","8","6","","","A 92.5% silver jhula with twin peacock crests, engraved pillars, elephant-form front feet and an ornate suspended seat. Visible weight: 2629 g; singhasan: 8 × 6 inches.","92.5% silver jhula with twin peacock crest, elephant-form front feet, carved pillars and suspended seat","","true","true"
"2","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.04.04 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/jh-12-peacock-arch-floral-seat-silver-jhula.png","JH-12","Peacock Arch Floral Seat Silver Jhula","category-jhula","","92.5","2400","","","","Singhasan size 9/7","9","7","","","A 92.5% silver jhula with a fan-tail peacock finial, paired peacocks, a carved arch and a floral suspended seat. Visible weight: 2400 g; singhasan: 9 × 7 inches.","92.5% silver jhula with fan-tail peacock finial, paired peacock arch and carved floral suspended seat","","true","true"
"3","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.15.21 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/89-floral-medallion-four-glass-silver-lemon-set.png","DDA-UT-JG-89","Floral Medallion Four-Glass Silver Lemon Set","category-utensils","jug","92.5","900","","","","","","","","","A five-piece 92.5% silver lemon set with a lidded jug and four matching glasses, finished with detailed floral medallion repoussé. Visible total weight: 900 g.","92.5% silver lemon set with floral medallion lidded jug and four matching decorated glasses","","true","true"
"4","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.16.09 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/90-engraved-vine-six-glass-silver-lemon-set.png","DDA-UT-JG-90","Engraved Vine Six-Glass Silver Lemon Set","category-utensils","jug","92.5","1000","","","","","","","","","A seven-piece 92.5% silver lemon set with a lidded jug and six matching glasses, decorated with flowing engraved vine-and-leaf motifs. Visible total weight: 1000 g.","92.5% silver lemon set with engraved vine lidded jug and six matching decorated glasses","","true","true"
"5","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.21.10 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/91-fluted-floral-bird-handle-four-glass-silver-lemon-set.png","DDA-UT-JG-91","Fluted Floral Bird-Handle Four-Glass Silver Lemon Set","category-utensils","jug","92.5","1500","","","","","","","","","A five-piece 92.5% silver lemon set with a sculptural bird-handle ewer and four matching glasses, richly finished in fluted floral relief. Visible total weight: 1500 g.","92.5% silver lemon set with bird-handle fluted floral ewer and four matching relief glasses","","true","true"
"6","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.23.20 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/92-scrollwork-two-glass-silver-lemon-set.png","DDA-UT-JG-92","Scrollwork Two-Glass Silver Lemon Set","category-utensils","jug","92.5","550","","","","","","","","","A three-piece 92.5% silver lemon set with a polished lidded jug and two matching glasses, accented by a dark floral scrollwork band. Visible total weight: 550 g.","92.5% silver lemon set with scrollwork lidded jug and two matching silver glasses","","true","true"
"7","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.29.13 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/93-lattice-floral-four-glass-silver-lemon-set.png","DDA-UT-JG-93","Lattice Floral Four-Glass Silver Lemon Set","category-utensils","jug","92.5","1500","","","","","","","","","A five-piece 92.5% silver lemon set with a panelled lidded jug and four matching glasses, combining floral engraving with open lattice styling. Visible total weight: 1500 g.","92.5% silver lemon set with lattice floral lidded jug and four matching panelled glasses","","true","true"
"8","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.34.28 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/94-hammered-six-glass-silver-lemon-set.png","DDA-UT-JG-94","Hammered Six-Glass Silver Lemon Set","category-utensils","jug","92.5","1290","","","","","","","","","A seven-piece 92.5% silver lemon set with a lidded jug and six matching glasses, combining a bright hammered finish with smooth polished bands. Visible total weight: 1290 g.","92.5% silver lemon set with hammered lidded jug and six matching textured glasses","","true","true"
"9","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.41.34 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/95-gilded-arch-four-glass-silver-lemon-set.png","DDA-UT-JG-95","Gilded Arch Four-Glass Silver Lemon Set","category-utensils","jug","92.5","1600","","","","","","","","","A five-piece 92.5% silver lemon set with an elephant-spout lidded jug and four glasses, detailed with layered arches and gold-tone accents. Visible total weight: 1600 g.","92.5% silver lemon set with gilded arch elephant-spout jug and four matching glasses","","true","true"
"10","C:\Users\kk\Desktop\New folder (2)\WhatsApp Image 2026-08-09 at 12.44.24 PM.jpeg","public/images/gallery-ingestion/new-folder-2-additions-2026-08-09/images/96-floral-band-six-glass-silver-lemon-set.png","DDA-UT-JG-96","Floral Band Six-Glass Silver Lemon Set","category-utensils","jug","92.5","1425","","","","","","","","","A seven-piece 92.5% silver lemon set with a lidded jug and six matching glasses, each finished with a broad engraved floral band. Visible total weight: 1425 g.","92.5% silver lemon set with floral-band lidded jug and six matching engraved glasses","","true","true"
